0.1,0.499833333,0.5
0.12,0.5,0.5
0.14,0.4995,0.5
0.16,0.498,0.5
0.18,0.494333333,0.5
0.2,0.5015,0.5
0.22,0.503166667,0.5
0.24,0.500666667,0.5
0.26,0.5075,0.5
0.28,0.511,0.5
0.3,0.509666667,0.5
0.32,0.5065,0.499666667
0.34,0.505833333,0.499666667
0.36,0.507833333,0.499666667
0.38,0.501666667,0.499833333
0.4,0.501333333,0.500166667
0.42,0.499833333,0.500166667
0.44,0.5025,0.499
0.46,0.499833333,0.4995
0.48,0.5005,0.499
0.5,0.500166667,0.499166667
0.52,0.5015,0.4995
0.54,0.500666667,0.499333333
0.56,0.500333333,0.501166667
0.58,0.5,0.5025
0.6,0.500333333,0.505333333
0.62,0.500666667,0.507166667
0.64,0.501166667,0.505
0.66,0.501,0.511333333
0.68,0.500833333,0.508666667
0.7,0.500333333,0.505833333
0.72,0.5005,0.507666667
0.74,0.5005,0.507666667
0.76,0.500166667,0.507
0.78,0.500333333,0.504166667
0.8,0.500666667,0.499666667
0.82,0.5005,0.500333333
0.84,0.500666667,0.499833333
0.86,0.500333333,0.5005
0.88,0.500333333,0.498333333
0.9,0.500333333,0.498666667
0.92,0.500333333,0.499166667
0.94,0.500333333,0.499
0.96,0.5,0.498
0.98,0.500166667,0.4995
